Artists	Album	Title	Genre
DjeuhDjoah & Lieutenant Nicholson	Remets t'es qui ?		French Pop
Doolin'	Doolin'		Celtic
Dr. Lonnie Smith - Dr. Lonnie Smith	Live at Club Mozambique	Seven Steps to Heaven (Live)	Jazz
Drugdealer - Drugdealer	Raw Honey	Fools	Indie Rock
Duke Ellington and His Orchestra	The Chronological Classics: 1950		Jazz
Eagles - Eagles	Hotel California	Hotel California	Rock
Eartha Kitt	Down to Eartha		Jazz
Ed Motta	Perpetual Gateways		Jazz
Eddie C. Campbell	Spider Eating Preacher		Blues
Either/Orchestra	Éthiopiques, Vol. 20: Live In Addis		World
Electric Light Orchestra	Out of the Blue		Rock
Electric Light Orchestra	Out of the Blue	Mr. Blue Sky	rock
Eleni Mandell	Let's Fly a Kite		Alternative
Elton John	Too Low For Zero (Bonus Track Version)		Pop
Elvin Bishop	The Blues Rolls On		Blues
Elvin Jones, Kenny Garrett & Ron Carter	African Exchange Student		Jazz
Enzo Jannacci	Foto Ricordo		Pop
Eric Bibb	Global Griot		Blues
Eric Clapton	Just One Night		Rock
Eric Gales	Good for Sumthin'		Blues-Rock
Etienne de Crécy - Etienne de Crécy	Commercial EP 1 - Single	F**k	Dance
Fabio Rovazzi - Fabio Rovazzi	Volare (feat. Gianni Morandi) - Single	Volare (feat. Gianni Morandi)	Electronic
Fat Freddy's Drop	Based on a True Story		Electronic
Fela Kuti	The Best of the Black President 2		World
Fleetwood Mac	Rumours		Rock
Fleetwood Mac	Rumours	The Chain	rock
Forever Pavot - Forever Pavot	Le bon coin Forever	Pistolet chargé	Alternative
Franck Wolf Trio	Bol d'air (with Marcel Loeffler & Davide Petrocça)		Jazz
Frank Black	The Cult of Ray		Indie Rock
Frankie Trumbauer	The Chronological Classics 1928-1929		Jazz
Franz Ferdinand	
Franz Ferdinand	You Could Have It So Much Better		Alternative
Fred Astaire & Ginger Rogers	Motion Picture Soundtrack Anthology: Fred Astaire and Ginger Rogers At RKO		Soundtrack
Gabin	Mr Freedom		Electronic
Garbage	Beautiful Garbage (Remastered)		Alternative
Gary Clark Jr.	Blak and Blu (Deluxe Version)		Alternative
Gene Kelly - Gene Kelly	Singin'in the Rain	Broadway Ballet	Easy Listening
Genesis	From Genesis to Revelation		Rock
George Benson	Walking to New Orleans		Blues
George Harrison	Dark Horse (Remastered)		Rock
Georges Brassens	Georges Brassens sa guitare et les rythmes N°3		Pop
Getatchew Mekurya	Éthiopiques, Vol. 14: Getachèw Mèkurya		World
Ghost-Note	Swagism		Jazz
Glen Campbell	Southern Nights		Country
Glenn Gould	Bach: Italian Concerto in F Major, BWV 971; Partitas Nos. 1 & 2, BWV 825 & 826		Classical
Glenn Miller	The Very Best of Glenn Miller		Jazz
Grant Green - Grant Green	The Best of Grant Green, Vol. 2	Back Out	Jazz
Gregory Page	Promise of a Dream		Pop
Gregory Page & His Big Band Orchestra	Shine Shine Shine		Jazz
Guru	Guru's Jazzmatazz, Vol. 1 (Deluxe Edition)		Pop
Guy Verlinde	Rooted in the Blues		Contemporary Blues
Hector Lavoe - Hector Lavoe	Live	Cuándo, Cuándo, Cuándo	Latin
Herbie Hancock - Herbie Hancock	Maiden Voyage	Maiden Voyage (Remastered)	Jazz
Hiroshi Suzuki	Cat	Kuro to Shiro	jazz
Hugh Coltman	Who's Happy?		Jazz
INXS	The Swing		Rock
Ian Dury & The Blockheads	Sex & Drugs & Rock & Roll		Electronic
Inna de Yard	The Soul of Jamaica		Reggae
Iron Maiden - Iron Maiden	Seventh Son of a Seventh Son	Moonchild	Metal
Ismael Rivera y Sus Cachimbos - Ismael Rivera y Sus Cachimbos	Esto Si Es Lo Mío	Comedia	Salsa and Tropical
Jack Broadbent	Public Announcement		Rock
Jack White	Jack White Acoustic Recordings 1998 - 2016		Alternative
Jack Wilson - Jack Wilson	Easterly Winds	Do It	Jazz
Jackson 5 - Jackson 5	The Ultimate Collection: Jackson 5	I Want You Back	Pop
Jaco Pastorius	Jaco Pastorius (Bonus Track Version)		Jazz
Jacques Brel	Les Marquises		French Pop
James Taylor Quartet - James Taylor Quartet	The Oscillator	Jesus Christ Superstar	Jazz
Java - Java	Java sur Seine	Apoçalypse (Live)	French Pop
Jay and the Americans	Come a Little Bit Closer	Come a Little Bit Closer	rock
Jazz Funk Soul	Jazz Funk Soul (feat. Jeff Lorber, Chuck Loeb, Everette Harp)		Jazz
Jessye Norman & James Levine	Strauss, Tchaikovsky, Wagner & Schoenberg: Lieder (Live)		Classical
